geoid,name,median_income,median_age,total_pop
95230,ZCTA5 95230,89016,34.5,840
95231,ZCTA5 95231,41935,33.6,5165
95246,ZCTA5 95246,57689,63.3,1159
95247,ZCTA5 95247,52661,57.2,4024
95315,ZCTA5 95315,59298,31.2,14520
95325,ZCTA5 95325,NA,52.4,78
95326,ZCTA5 95326,79386,35.6,10147
95328,ZCTA5 95328,53112,27.9,4480
95841,ZCTA5 95841,50295,34.5,21229
95912,ZCTA5 95912,69786,34.1,5380
95942,ZCTA5 95942,NA,61.1,934
95944,ZCTA5 95944,NA,NA,26
95948,ZCTA5 95948,58254,34.7,11917
95950,ZCTA5 95950,24940,32.1,350
95953,ZCTA5 95953,57949,34.2,10925
95956,ZCTA5 95956,71438,55.3,348
95983,ZCTA5 95983,80729,49,380
95987,ZCTA5 95987,66095,31.3,5950
95334,ZCTA5 95334,55044,30.1,17057
95337,ZCTA5 95337,83933,35,39177
95356,ZCTA5 95356,70699,37.9,32622
95363,ZCTA5 95363,71934,31.7,27908
95383,ZCTA5 95383,79329,54.6,3611
94028,ZCTA5 94028,234091,50.9,7125
94040,ZCTA5 94040,139278,34.6,36526
94102,ZCTA5 94102,46372,39.2,31392
94111,ZCTA5 94111,120905,46.6,3611
94010,ZCTA5 94010,152388,41.9,42760
94044,ZCTA5 94044,125500,42.5,38984
94070,ZCTA5 94070,185459,41.9,31074
94105,ZCTA5 94105,213987,35.1,10916
94121,ZCTA5 94121,103151,42.7,43616
94301,ZCTA5 94301,159148,44.9,16582
94303,ZCTA5 94303,105763,34.1,48244
94305,ZCTA5 94305,60000,22.5,16397
94403,ZCTA5 94403,134875,38.6,44408
94572,ZCTA5 94572,75142,36.7,10384
94579,ZCTA5 94579,88991,42.5,21883
94589,ZCTA5 94589,68494,36.4,31536
94603,ZCTA5 94603,52634,31,35862
94605,ZCTA5 94605,72778,38.5,43399
94612,ZCTA5 94612,55291,37,15785
94706,ZCTA5 94706,100461,36.6,21218
94923,ZCTA5 94923,85069,67.3,808
94928,ZCTA5 94928,71824,34.6,44323
94938,ZCTA5 94938,126429,40.8,920
94939,ZCTA5 94939,119158,48.9,6747
94945,ZCTA5 94945,120020,47.3,19043
94964,ZCTA5 94964,NA,35,3155
94512,ZCTA5 94512,NA,NA,16
94569,ZCTA5 94569,181116,56.8,180
94517,ZCTA5 94517,150032,45.7,13687
94545,ZCTA5 94545,91310,39.7,32724
94556,ZCTA5 94556,141366,45.3,16428
94574,ZCTA5 94574,93587,51.1,8757
94583,ZCTA5 94583,152656,40.8,35231
94586,ZCTA5 94586,133125,51,831
94601,ZCTA5 94601,50122,33.3,53039
94621,ZCTA5 94621,42563,29.9,35035
94708,ZCTA5 94708,170139,50.5,11394
94710,ZCTA5 94710,81907,35.5,7893
94117,ZCTA5 94117,170211,33.4,44650
94134,ZCTA5 94134,77983,42.2,42418
94404,ZCTA5 94404,149836,40.6,36985
94506,ZCTA5 94506,212739,45,25240
94509,ZCTA5 94509,64502,35.1,68166
94510,ZCTA5 94510,103163,46.1,28350
94801,ZCTA5 94801,56582,32.8,31210
94803,ZCTA5 94803,89851,44,25893
94901,ZCTA5 94901,90440,39.2,41713
94947,ZCTA5 94947,110274,48.1,25867
94952,ZCTA5 94952,88848,43.5,35503
94960,ZCTA5 94960,133381,47.5,15868
94970,ZCTA5 94970,121071,60.2,698
94542,ZCTA5 94542,121354,33.7,14699
94550,ZCTA5 94550,139387,42.7,50374
92602,ZCTA5 92602,100745,36.5,23238
92661,ZCTA5 92661,123558,47.8,3445
92672,ZCTA5 92672,87455,44.9,34218
92673,ZCTA5 92673,151007,43.2,30768
92823,ZCTA5 92823,151071,37.8,4872
92835,ZCTA5 92835,113345,45,23528
95979,ZCTA5 95979,34625,60.1,414
95981,ZCTA5 95981,NA,38.3,39
95991,ZCTA5 95991,50682,33.9,40861
95003,ZCTA5 95003,103982,50.1,25185
95012,ZCTA5 95012,61373,26.7,10780
95017,ZCTA5 95017,66484,48.7,681
95030,ZCTA5 95030,209563,50,13481
95037,ZCTA5 95037,125057,40,51994
95043,ZCTA5 95043,76500,48.9,731
95045,ZCTA5 95045,88804,46.7,4217
95050,ZCTA5 95050,96872,34.1,38699
95066,ZCTA5 95066,111480,44.5,15341
95120,ZCTA5 95120,206531,46.3,38122
95123,ZCTA5 95123,117579,37.4,68766
95225,ZCTA5 95225,68750,43.7,378
95228,ZCTA5 95228,83313,49.9,4541
95242,ZCTA5 95242,73083,41.9,26409
95250,ZCTA5 95250,NA,NA,0
95258,ZCTA5 95258,92545,52.3,3599
95301,ZCTA5 95301,60958,33.2,39186
